CERES - EBAFTOA421 Data
Parameter: TOA Longwave Flux - All-Sky (W m-2)
Time Range: March - 2000 to January - 2026
Time Resolution: MON
Valid Range: 0 - 400
Satellite: -

year month   data
2000 03 238.26
2000 04 238.04
2000 05 240.76
2000 06 243.23
2000 07 243.99
2000 08 243.66
2000 09 242.24
2000 10 238.96
2000 11 237.25
2000 12 237.08
2001 01 237.07
2001 02 236.85
2001 03 236.93
2001 04 238.27
2001 05 241.09
2001 06 242.92
2001 07 244.35
2001 08 244.67
2001 09 241.99
2001 10 239.71
2001 11 238.40
2001 12 237.28
2002 01 237.23
2002 02 238.01
2002 03 238.10
2002 04 239.28
2002 05 241.78
2002 06 243.21
2002 07 244.95
2002 08 244.58
2002 09 243.16
2002 10 240.04
2002 11 237.88
2002 12 236.91
2003 01 237.96
2003 02 238.08
2003 03 238.90
2003 04 239.03
2003 05 240.97
2003 06 243.24
2003 07 244.66
2003 08 244.26
2003 09 242.83
2003 10 240.76
2003 11 238.19
2003 12 237.64
2004 01 236.96
2004 02 238.08
2004 03 238.00
2004 04 238.89
2004 05 240.65
2004 06 243.30
2004 07 243.79
2004 08 244.36
2004 09 242.51
2004 10 240.50
2004 11 237.86
2004 12 236.66
2005 01 237.56
2005 02 238.26
2005 03 238.09
2005 04 239.22
2005 05 240.00
2005 06 243.10
2005 07 244.79
2005 08 244.52
2005 09 242.80
2005 10 240.62
2005 11 238.35
2005 12 237.33
2006 01 236.36
2006 02 237.16
2006 03 238.00
2006 04 238.08
2006 05 240.18
2006 06 243.49
2006 07 244.89
2006 08 244.68
2006 09 242.93
2006 10 240.13
2006 11 238.13
2006 12 237.09
2007 01 238.37
2007 02 238.41
2007 03 238.84
2007 04 239.27
2007 05 241.06
2007 06 242.35
2007 07 244.44
2007 08 244.37
2007 09 243.29
2007 10 240.76
2007 11 238.34
2007 12 237.04
2008 01 236.20
2008 02 237.70
2008 03 238.06
2008 04 238.64
2008 05 240.37
2008 06 242.54
2008 07 244.29
2008 08 243.55
2008 09 241.99
2008 10 239.87
2008 11 237.89
2008 12 236.61
2009 01 236.85
2009 02 237.37
2009 03 237.18
2009 04 238.97
2009 05 240.61
2009 06 241.98
2009 07 244.26
2009 08 244.59
2009 09 242.74
2009 10 240.52
2009 11 238.26
2009 12 236.81
2010 01 238.25
2010 02 237.95
2010 03 238.99
2010 04 238.65
2010 05 241.17
2010 06 242.94
