date,year,month,toa_net_flux_w_m2,decimal_year
2000-03-01,2000,3,238.260000,2000.208333
2000-04-01,2000,4,238.040000,2000.291667
2000-05-01,2000,5,240.760000,2000.375000
2000-06-01,2000,6,243.230000,2000.458333
2000-07-01,2000,7,243.990000,2000.541667
2000-08-01,2000,8,243.660000,2000.625000
2000-09-01,2000,9,242.240000,2000.708333
2000-10-01,2000,10,238.960000,2000.791667
2000-11-01,2000,11,237.250000,2000.875000
2000-12-01,2000,12,237.080000,2000.958333
2001-01-01,2001,1,237.070000,2001.041667
2001-02-01,2001,2,236.850000,2001.125000
2001-03-01,2001,3,236.930000,2001.208333
2001-04-01,2001,4,238.270000,2001.291667
2001-05-01,2001,5,241.090000,2001.375000
2001-06-01,2001,6,242.920000,2001.458333
2001-07-01,2001,7,244.350000,2001.541667
2001-08-01,2001,8,244.670000,2001.625000
2001-09-01,2001,9,241.990000,2001.708333
2001-10-01,2001,10,239.710000,2001.791667
2001-11-01,2001,11,238.400000,2001.875000
2001-12-01,2001,12,237.280000,2001.958333
2002-01-01,2002,1,237.230000,2002.041667
2002-02-01,2002,2,238.010000,2002.125000
2002-03-01,2002,3,238.100000,2002.208333
2002-04-01,2002,4,239.280000,2002.291667
2002-05-01,2002,5,241.780000,2002.375000
2002-06-01,2002,6,243.210000,2002.458333
2002-07-01,2002,7,244.950000,2002.541667
2002-08-01,2002,8,244.580000,2002.625000
2002-09-01,2002,9,243.160000,2002.708333
2002-10-01,2002,10,240.040000,2002.791667
2002-11-01,2002,11,237.880000,2002.875000
2002-12-01,2002,12,236.910000,2002.958333
2003-01-01,2003,1,237.960000,2003.041667
2003-02-01,2003,2,238.080000,2003.125000
2003-03-01,2003,3,238.900000,2003.208333
2003-04-01,2003,4,239.030000,2003.291667
2003-05-01,2003,5,240.970000,2003.375000
2003-06-01,2003,6,243.240000,2003.458333
2003-07-01,2003,7,244.660000,2003.541667
2003-08-01,2003,8,244.260000,2003.625000
2003-09-01,2003,9,242.830000,2003.708333
2003-10-01,2003,10,240.760000,2003.791667
2003-11-01,2003,11,238.190000,2003.875000
2003-12-01,2003,12,237.640000,2003.958333
2004-01-01,2004,1,236.960000,2004.041667
2004-02-01,2004,2,238.080000,2004.125000
