date,year,month,decimal_year,toa_net_flux_w_m2,LongWave
2000-03-01,2000,3,2000.208333,238.260000,
2000-04-01,2000,4,2000.291667,238.040000,
2000-05-01,2000,5,2000.375000,240.760000,
2000-06-01,2000,6,2000.458333,243.230000,
2000-07-01,2000,7,2000.541667,243.990000,
2000-08-01,2000,8,2000.625000,243.660000,
2000-09-01,2000,9,2000.708333,242.240000,
2000-10-01,2000,10,2000.791667,238.960000,
2000-11-01,2000,11,2000.875000,237.250000,
2000-12-01,2000,12,2000.958333,237.080000,
2001-01-01,2001,1,2001.041667,237.070000,
2001-02-01,2001,2,2001.125000,236.850000,239.782500
2001-03-01,2001,3,2001.208333,236.930000,239.563077
2001-04-01,2001,4,2001.291667,238.270000,239.470714
2001-05-01,2001,5,2001.375000,241.090000,239.578667
2001-06-01,2001,6,2001.458333,242.920000,239.787500
2001-07-01,2001,7,2001.541667,244.350000,240.055882
2001-08-01,2001,8,2001.625000,244.670000,240.312222
2001-09-01,2001,9,2001.708333,241.990000,240.400526
2001-10-01,2001,10,2001.791667,239.710000,240.366000
2001-11-01,2001,11,2001.875000,238.400000,240.272381
2001-12-01,2001,12,2001.958333,237.280000,240.136364
2002-01-01,2002,1,2002.041667,237.230000,240.010000
2002-02-01,2002,2,2002.125000,238.010000,239.926667
2002-03-01,2002,3,2002.208333,238.100000,239.853600
2002-04-01,2002,4,2002.291667,239.280000,239.831538
2002-05-01,2002,5,2002.375000,241.780000,239.903704
2002-06-01,2002,6,2002.458333,243.210000,240.021786
2002-07-01,2002,7,2002.541667,244.950000,240.191724
2002-08-01,2002,8,2002.625000,244.580000,240.338000
2002-09-01,2002,9,2002.708333,243.160000,240.429032
2002-10-01,2002,10,2002.791667,240.040000,240.416875
2002-11-01,2002,11,2002.875000,237.880000,240.340000
2002-12-01,2002,12,2002.958333,236.910000,240.239118
2003-01-01,2003,1,2003.041667,237.960000,240.174000
2003-02-01,2003,2,2003.125000,238.080000,240.115833
2003-03-01,2003,3,2003.208333,238.900000,240.082973
2003-04-01,2003,4,2003.291667,239.030000,240.055263
2003-05-01,2003,5,2003.375000,240.970000,240.078718
2003-06-01,2003,6,2003.458333,243.240000,240.157750
2003-07-01,2003,7,2003.541667,244.660000,240.267561
2003-08-01,2003,8,2003.625000,244.260000,240.362619
2003-09-01,2003,9,2003.708333,242.830000,240.420000
2003-10-01,2003,10,2003.791667,240.760000,240.427727
2003-11-01,2003,11,2003.875000,238.190000,240.378000
2003-12-01,2003,12,2003.958333,237.640000,240.318478
2004-01-01,2004,1,2004.041667,236.960000,240.247021
2004-02-01,2004,2,2004.125000,238.080000,240.201875
2004-03-01,2004,3,2004.208333,238.000000,240.196458
2004-04-01,2004,4,2004.291667,238.890000,240.214167
2004-05-01,2004,5,2004.375000,240.650000,240.211875
2004-06-01,2004,6,2004.458333,243.300000,240.213333
2004-07-01,2004,7,2004.541667,243.790000,240.209167
2004-08-01,2004,8,2004.625000,244.360000,240.223750
2004-09-01,2004,9,2004.708333,242.510000,240.229375
2004-10-01,2004,10,2004.791667,240.500000,240.261458
2004-11-01,2004,11,2004.875000,237.860000,240.274167
2004-12-01,2004,12,2004.958333,236.660000,240.265417
2005-01-01,2005,1,2005.041667,237.560000,240.275625
2005-02-01,2005,2,2005.125000,238.260000,240.305000
2005-03-01,2005,3,2005.208333,238.090000,240.329167
2005-04-01,2005,4,2005.291667,239.220000,240.348958
2005-05-01,2005,5,2005.375000,240.000000,240.326250
2005-06-01,2005,6,2005.458333,243.100000,240.330000
2005-07-01,2005,7,2005.541667,244.790000,240.339167
2005-08-01,2005,8,2005.625000,244.520000,240.336042
2005-09-01,2005,9,2005.708333,242.800000,240.352917
2005-10-01,2005,10,2005.791667,240.620000,240.371875
2005-11-01,2005,11,2005.875000,238.350000,240.370833
2005-12-01,2005,12,2005.958333,237.330000,240.371875
2006-01-01,2006,1,2006.041667,236.360000,240.353750
2006-02-01,2006,2,2006.125000,237.160000,240.336042
2006-03-01,2006,3,2006.208333,238.000000,240.333958
2006-04-01,2006,4,2006.291667,238.080000,240.308958
2006-05-01,2006,5,2006.375000,240.180000,240.275625
2006-06-01,2006,6,2006.458333,243.490000,240.281458
2006-07-01,2006,7,2006.541667,244.890000,240.280208
2006-08-01,2006,8,2006.625000,244.680000,240.282292
2006-09-01,2006,9,2006.708333,242.930000,240.277500
2006-10-01,2006,10,2006.791667,240.130000,240.279375
2006-11-01,2006,11,2006.875000,238.130000,240.284583
2006-12-01,2006,12,2006.958333,237.090000,240.288333
2007-01-01,2007,1,2007.041667,238.370000,240.296875
