date,year,month,decimal_year,EEI,toa_net_flux_w_m2,LongWave,OLR_EEI
2000-03-01,2000,3,2000.208333,,238.260000,,0.000000
2000-04-01,2000,4,2000.291667,,238.040000,,0.000000
2000-05-01,2000,5,2000.375000,,240.760000,,0.000000
2000-06-01,2000,6,2000.458333,,243.230000,,0.000000
2000-07-01,2000,7,2000.541667,,243.990000,,0.000000
2000-08-01,2000,8,2000.625000,,243.660000,,0.000000
2000-09-01,2000,9,2000.708333,,242.240000,,0.000000
2000-10-01,2000,10,2000.791667,,238.960000,,0.000000
2000-11-01,2000,11,2000.875000,,237.250000,,0.000000
2000-12-01,2000,12,2000.958333,,237.080000,,0.000000
2001-01-01,2001,1,2001.041667,,237.070000,,0.000000
2001-02-01,2001,2,2001.125000,0.623333,236.850000,239.782500,240.405833
2001-03-01,2001,3,2001.208333,1.155385,236.930000,239.563077,240.718462
2001-04-01,2001,4,2001.291667,1.144286,238.270000,239.470714,240.615000
2001-05-01,2001,5,2001.375000,0.660667,241.090000,239.578667,240.239334
2001-06-01,2001,6,2001.458333,0.011250,242.920000,239.787500,239.798750
2001-07-01,2001,7,2001.541667,-0.499412,244.350000,240.055882,239.556470
2001-08-01,2001,8,2001.625000,-0.810556,244.670000,240.312222,239.501666
2001-09-01,2001,9,2001.708333,-0.767368,241.990000,240.400526,239.633158
2001-10-01,2001,10,2001.791667,-0.674000,239.710000,240.366000,239.692000
2001-11-01,2001,11,2001.875000,-0.471905,238.400000,240.272381,239.800476
2001-12-01,2001,12,2001.958333,-0.215909,237.280000,240.136364,239.920455
2002-01-01,2002,1,2002.041667,0.133478,237.230000,240.010000,240.143478
2002-02-01,2002,2,2002.125000,0.462917,238.010000,239.926667,240.389584
2002-03-01,2002,3,2002.208333,0.704400,238.100000,239.853600,240.558000
2002-04-01,2002,4,2002.291667,0.704231,239.280000,239.831538,240.535769
2002-05-01,2002,5,2002.375000,0.471852,241.780000,239.903704,240.375556
2002-06-01,2002,6,2002.458333,0.093929,243.210000,240.021786,240.115715
2002-07-01,2002,7,2002.541667,-0.260000,244.950000,240.191724,239.931724
2002-08-01,2002,8,2002.625000,-0.470667,244.580000,240.338000,239.867333
2002-09-01,2002,9,2002.708333,-0.493226,243.160000,240.429032,239.935806
2002-10-01,2002,10,2002.791667,-0.396875,240.040000,240.416875,240.020000
2002-11-01,2002,11,2002.875000,-0.278182,237.880000,240.340000,240.061818
2002-12-01,2002,12,2002.958333,-0.092059,236.910000,240.239118,240.147059
2003-01-01,2003,1,2003.041667,0.128286,237.960000,240.174000,240.302286
2003-02-01,2003,2,2003.125000,0.370556,238.080000,240.115833,240.486389
2003-03-01,2003,3,2003.208333,0.533784,238.900000,240.082973,240.616757
2003-04-01,2003,4,2003.291667,0.553684,239.030000,240.055263,240.608947
2003-05-01,2003,5,2003.375000,0.385385,240.970000,240.078718,240.464103
2003-06-01,2003,6,2003.458333,0.139750,243.240000,240.157750,240.297500
2003-07-01,2003,7,2003.541667,-0.080976,244.660000,240.267561,240.186585
2003-08-01,2003,8,2003.625000,-0.191429,244.260000,240.362619,240.171190
2003-09-01,2003,9,2003.708333,-0.200698,242.830000,240.420000,240.219302
2003-10-01,2003,10,2003.791667,-0.160000,240.760000,240.427727,240.267727
2003-11-01,2003,11,2003.875000,-0.073111,238.190000,240.378000,240.304889
2003-12-01,2003,12,2003.958333,0.059130,237.640000,240.318478,240.377608
2004-01-01,2004,1,2004.041667,0.241702,236.960000,240.247021,240.488723
2004-02-01,2004,2,2004.125000,0.426042,238.080000,240.201875,240.627917
2004-03-01,2004,3,2004.208333,0.417917,238.000000,240.196458,240.614375
2004-04-01,2004,4,2004.291667,0.426875,238.890000,240.214167,240.641042
2004-05-01,2004,5,2004.375000,0.415417,240.650000,240.211875,240.627292
2004-06-01,2004,6,2004.458333,0.410000,243.300000,240.213333,240.623333
2004-07-01,2004,7,2004.541667,0.427917,243.790000,240.209167,240.637084
2004-08-01,2004,8,2004.625000,0.428125,244.360000,240.223750,240.651875
2004-09-01,2004,9,2004.708333,0.446042,242.510000,240.229375,240.675417
2004-10-01,2004,10,2004.791667,0.439792,240.500000,240.261458,240.701250
2004-11-01,2004,11,2004.875000,0.440417,237.860000,240.274167,240.714584
2004-12-01,2004,12,2004.958333,0.465000,236.660000,240.265417,240.730417
2005-01-01,2005,1,2005.041667,0.428750,237.560000,240.275625,240.704375
2005-02-01,2005,2,2005.125000,0.404792,238.260000,240.305000,240.709792
2005-03-01,2005,3,2005.208333,0.385417,238.090000,240.329167,240.714584
2005-04-01,2005,4,2005.291667,0.387917,239.220000,240.348958,240.736875
2005-05-01,2005,5,2005.375000,0.425208,240.000000,240.326250,240.751458
2005-06-01,2005,6,2005.458333,0.421458,243.100000,240.330000,240.751458
2005-07-01,2005,7,2005.541667,0.396875,244.790000,240.339167,240.736042
2005-08-01,2005,8,2005.625000,0.400208,244.520000,240.336042,240.736250
2005-09-01,2005,9,2005.708333,0.386250,242.800000,240.352917,240.739167
2005-10-01,2005,10,2005.791667,0.394375,240.620000,240.371875,240.766250
2005-11-01,2005,11,2005.875000,0.394375,238.350000,240.370833,240.765208
2005-12-01,2005,12,2005.958333,0.432708,237.330000,240.371875,240.804583
2006-01-01,2006,1,2006.041667,0.456875,236.360000,240.353750,240.810625
2006-02-01,2006,2,2006.125000,0.480833,237.160000,240.336042,240.816875
2006-03-01,2006,3,2006.208333,0.482917,238.000000,240.333958,240.816875
2006-04-01,2006,4,2006.291667,0.518333,238.080000,240.308958,240.827291
2006-05-01,2006,5,2006.375000,0.546250,240.180000,240.275625,240.821875
2006-06-01,2006,6,2006.458333,0.565208,243.490000,240.281458,240.846666
2006-07-01,2006,7,2006.541667,0.582708,244.890000,240.280208,240.862916
2006-08-01,2006,8,2006.625000,0.598750,244.680000,240.282292,240.881042
2006-09-01,2006,9,2006.708333,0.612917,242.930000,240.277500,240.890417
2006-10-01,2006,10,2006.791667,0.584375,240.130000,240.279375,240.863750
2006-11-01,2006,11,2006.875000,0.601458,238.130000,240.284583,240.886041
2006-12-01,2006,12,2006.958333,0.602292,237.090000,240.288333,240.890625
2007-01-01,2007,1,2007.041667,0.587708,238.370000,240.296875,240.884583
2007-02-01,2007,2,2007.125000,0.581458,238.410000,240.303750,240.885208
2007-03-01,2007,3,2007.208333,0.570417,238.840000,240.302500,240.872917
2007-04-01,2007,4,2007.291667,0.583333,239.270000,240.307500,240.890833
2007-05-01,2007,5,2007.375000,0.591458,241.060000,240.309375,240.900833
2007-06-01,2007,6,2007.458333,0.606875,242.350000,240.290833,240.897708
2007-07-01,2007,7,2007.541667,0.607917,244.440000,240.286250,240.894167
2007-08-01,2007,8,2007.625000,0.587292,244.370000,240.288542,240.875834
2007-09-01,2007,9,2007.708333,0.562917,243.290000,240.298125,240.861042
2007-10-01,2007,10,2007.791667,0.563958,240.760000,240.298125,240.862083
2007-11-01,2007,11,2007.875000,0.549583,238.340000,240.301250,240.850833
2007-12-01,2007,12,2007.958333,0.529792,237.040000,240.288750,240.818542
2008-01-01,2008,1,2008.041667,0.528125,236.200000,240.272917,240.801042
2008-02-01,2008,2,2008.125000,0.513958,237.700000,240.265000,240.778958
2008-03-01,2008,3,2008.208333,0.555417,238.060000,240.266250,240.821667
2008-04-01,2008,4,2008.291667,0.543542,238.640000,240.261042,240.804584
2008-05-01,2008,5,2008.375000,0.591875,240.370000,240.255208,240.847083
2008-06-01,2008,6,2008.458333,0.630625,242.540000,240.239375,240.870000
2008-07-01,2008,7,2008.541667,0.625625,244.290000,240.249792,240.875417
2008-08-01,2008,8,2008.625000,0.653333,243.550000,240.232917,240.886250
2008-09-01,2008,9,2008.708333,0.639375,241.990000,240.222083,240.861458
2008-10-01,2008,10,2008.791667,0.666458,239.870000,240.208958,240.875416
2008-11-01,2008,11,2008.875000,0.652708,237.890000,240.209583,240.862291
2008-12-01,2008,12,2008.958333,0.655833,236.610000,240.208542,240.864375
2009-01-01,2009,1,2009.041667,0.669167,236.850000,240.193750,240.862917
2009-02-01,2009,2,2009.125000,0.699792,237.370000,240.175208,240.875000
2009-03-01,2009,3,2009.208333,0.716875,237.180000,240.156250,240.873125
2009-04-01,2009,4,2009.291667,0.732917,238.970000,240.151042,240.883959
2009-05-01,2009,5,2009.375000,0.731250,240.610000,240.163750,240.895000
2009-06-01,2009,6,2009.458333,0.780833,241.980000,240.140417,240.921250
2009-07-01,2009,7,2009.541667,0.802083,244.260000,240.129375,240.931458
2009-08-01,2009,8,2009.625000,0.820833,244.590000,240.130833,240.951666
2009-09-01,2009,9,2009.708333,0.805625,242.740000,240.129583,240.935208
2009-10-01,2009,10,2009.791667,0.806667,240.520000,240.127500,240.934167
2009-11-01,2009,11,2009.875000,0.793333,238.260000,240.125625,240.918958
2009-12-01,2009,12,2009.958333,0.777917,236.810000,240.114792,240.892709
2010-01-01,2010,1,2010.041667,0.729583,238.250000,240.154167,240.883750
2010-02-01,2010,2,2010.125000,0.706458,237.950000,240.170625,240.877083
2010-03-01,2010,3,2010.208333,0.686250,238.990000,240.191250,240.877500
