CERES - EBAFTOA421 Data
Parameter: TOA Shortwave Flux - All-Sky ** Anomaly Field **  (W m-2)
Time Range: March - 2000 to February - 2026
Time Resolution: MON
Valid Range: 0 - 600
Satellite: -

year month   data
2000 03 0.96
2000 04 1.14
2000 05 1.09
2000 06 1.13
2000 07 0.68
2000 08 1.40
2000 09 1.39
2000 10 2.37
2000 11 1.14
2000 12 0.76
2001 01 -0.68
2001 02 1.41
2001 03 0.80
2001 04 1.84
2001 05 1.07
2001 06 0.99
2001 07 0.36
2001 08 1.15
2001 09 0.64
2001 10 2.06
2001 11 0.44
2001 12 1.34
2002 01 1.22
2002 02 1.29
2002 03 0.89
2002 04 1.25
2002 05 -0.14
2002 06 1.15
2002 07 1.10
2002 08 1.63
2002 09 0.64
2002 10 0.10
2002 11 0.93
2002 12 0.81
2003 01 0.59
2003 02 0.34
2003 03 0.01
2003 04 0.85
2003 05 1.03
2003 06 0.28
2003 07 0.09
2003 08 0.06
2003 09 0.34
2003 10 0.08
2003 11 0.29
2003 12 -0.04
2004 01 0.41
2004 02 -0.10
2004 03 1.59
2004 04 -0.22
2004 05 1.67
2004 06 1.20
2004 07 -0.19
2004 08 0.41
2004 09 0.17
2004 10 0.89
2004 11 0.28
2004 12 -0.22
2005 01 0.27
2005 02 0.90
2005 03 0.44
2005 04 0.65
2005 05 0.13
2005 06 0.79
2005 07 0.84
2005 08 1.00
2005 09 0.38
2005 10 0.55
2005 11 0.31
2005 12 -0.80
2006 01 0.58
2006 02 0.65
2006 03 0.57
2006 04 0.57
2006 05 -0.03
2006 06 -0.24
2006 07 0.21
2006 08 0.60
2006 09 0.04
2006 10 1.22
2006 11 -0.34
2006 12 0.27
2007 01 0.60
2007 02 0.04
2007 03 0.51
2007 04 -0.10
2007 05 0.45
2007 06 0.37
2007 07 0.15
2007 08 0.78
2007 09 0.85
2007 10 0.08
2007 11 0.73
2007 12 1.37
2008 01 1.16
2008 02 0.87
2008 03 -0.57
2008 04 0.49
2008 05 -0.45
2008 06 0.02
2008 07 -0.47
2008 08 -0.16
2008 09 1.22
2008 10 0.08
2008 11 0.82
2008 12 -0.45
2009 01 0.33
2009 02 0.27
2009 03 0.49
2009 04 0.09
2009 05 -0.40
2009 06 -0.47
2009 07 0.32
2009 08 -0.05
2009 09 1.13
2009 10 0.50
2009 11 0.99
2009 12 0.40
2010 01 0.97
2010 02 1.00
2010 03 0.59
2010 04 0.37
2010 05 0.69
2010 06 0.83
2010 07 1.09
2010 08 0.96
2010 09 0.71
2010 10 0.81
2010 11 0.83
2010 12 0.63
2011 01 0.71
2011 02 0.64
2011 03 -0.08
2011 04 0.39
2011 05 0.69
2011 06 1.24
2011 07 0.20
2011 08 0.04
2011 09 0.02
2011 10 -0.37
2011 11 0.65
2011 12 1.79
2012 01 0.16
2012 02 -0.22
2012 03 0.85
2012 04 0.41
2012 05 -0.54
2012 06 -0.52
2012 07 0.33
2012 08 0.27
2012 09 0.39
2012 10 -0.61
2012 11 0.23
2012 12 0.14
2013 01 1.14
2013 02 0.58
2013 03 0.22
2013 04 0.79
2013 05 0.35
2013 06 0.92
2013 07 0.74
2013 08 0.07
2013 09 0.73
2013 10 0.28
2013 11 0.64
2013 12 0.13
2014 01 0.54
2014 02 0.59
2014 03 -0.10
2014 04 0.14
2014 05 0.10
2014 06 0.65
2014 07 0.68
2014 08 -0.51
2014 09 0.06
2014 10 -0.34
2014 11 0.23
2014 12 0.79
2015 01 0.44
2015 02 -0.08
2015 03 0.27
2015 04 -0.12
2015 05 -0.38
2015 06 0.14
2015 07 -0.49
2015 08 -0.71
2015 09 -0.80
2015 10 -0.80
2015 11 0.03
2015 12 -0.13
2016 01 -0.02
2016 02 0.15
2016 03 0.05
2016 04 -0.73
2016 05 -0.30
2016 06 -0.99
2016 07 -0.49
2016 08 -0.18
