CERES - EBAFTOA421 Data
Parameter: TOA Shortwave Flux - All-Sky (W m-2)
Time Range: March - 2000 to January - 2026
Time Resolution: MON
Valid Range: 0 - 600
Satellite: -

year month   data
2000 03 99.26
2000 04 97.78
2000 05 97.93
2000 06 96.82
2000 07 94.22
2000 08 93.58
2000 09 95.21
2000 10 101.91
2000 11 106.53
2000 12 108.28
2001 01 104.71
2001 02 102.87
2001 03 99.09
2001 04 98.47
2001 05 97.90
2001 06 96.67
2001 07 93.91
2001 08 93.33
2001 09 94.46
2001 10 101.60
2001 11 105.83
2001 12 108.87
2002 01 106.61
2002 02 102.75
2002 03 99.19
2002 04 97.89
2002 05 96.69
2002 06 96.84
2002 07 94.64
2002 08 93.82
2002 09 94.46
2002 10 99.64
2002 11 106.32
2002 12 108.34
2003 01 105.98
2003 02 101.79
2003 03 98.31
2003 04 97.49
2003 05 97.87
2003 06 95.97
2003 07 93.64
2003 08 92.24
2003 09 94.16
2003 10 99.61
2003 11 105.68
2003 12 107.49
2004 01 105.79
2004 02 101.35
2004 03 99.89
2004 04 96.41
2004 05 98.50
2004 06 96.89
2004 07 93.36
2004 08 92.59
2004 09 93.99
2004 10 100.42
2004 11 105.67
2004 12 107.31
2005 01 105.65
2005 02 102.36
2005 03 98.74
2005 04 97.29
2005 05 96.97
2005 06 96.48
2005 07 94.38
2005 08 93.18
2005 09 94.20
2005 10 100.09
2005 11 105.70
2005 12 106.72
2006 01 105.97
2006 02 102.10
2006 03 98.87
2006 04 97.20
2006 05 96.81
2006 06 95.44
2006 07 93.75
2006 08 92.79
2006 09 93.86
2006 10 100.75
2006 11 105.05
2006 12 107.80
2007 01 105.99
2007 02 101.50
2007 03 98.81
2007 04 96.53
2007 05 97.28
2007 06 96.05
2007 07 93.69
2007 08 92.97
2007 09 94.67
2007 10 99.62
2007 11 106.12
2007 12 108.90
2008 01 106.55
2008 02 102.33
2008 03 97.73
2008 04 97.12
2008 05 96.39
2008 06 95.71
2008 07 93.08
2008 08 92.02
2008 09 95.04
2008 10 99.62
2008 11 106.21
2008 12 107.08
2009 01 105.72
2009 02 101.72
2009 03 98.79
2009 04 96.73
2009 05 96.44
2009 06 95.22
2009 07 93.87
2009 08 92.14
2009 09 94.95
2009 10 100.04
2009 11 106.38
2009 12 107.92
2010 01 106.36
2010 02 102.46
2010 03 98.89
2010 04 97.00
2010 05 97.53
2010 06 96.52
2010 07 94.63
2010 08 93.15
2010 09 94.53
2010 10 100.35
2010 11 106.22
2010 12 108.16
2011 01 106.10
2011 02 102.10
2011 03 98.22
2011 04 97.03
2011 05 97.52
2011 06 96.92
2011 07 93.75
2011 08 92.22
2011 09 93.84
2011 10 99.17
2011 11 106.04
2011 12 109.32
2012 01 105.55
2012 02 101.23
2012 03 99.15
2012 04 97.04
2012 05 96.29
2012 06 95.16
2012 07 93.87
2012 08 92.45
2012 09 94.21
2012 10 98.93
2012 11 105.62
2012 12 107.67
2013 01 106.53
2013 02 102.03
2013 03 98.52
2013 04 97.42
2013 05 97.18
2013 06 96.61
2013 07 94.29
2013 08 92.25
2013 09 94.55
2013 10 99.82
2013 11 106.03
2013 12 107.66
2014 01 105.93
2014 02 102.05
2014 03 98.19
2014 04 96.77
2014 05 96.93
2014 06 96.34
2014 07 94.23
2014 08 91.68
2014 09 93.88
2014 10 99.20
2014 11 105.62
2014 12 108.32
2015 01 105.83
2015 02 101.38
2015 03 98.57
2015 04 96.51
2015 05 96.45
2015 06 95.82
2015 07 93.05
2015 08 91.48
2015 09 93.02
2015 10 98.74
2015 11 105.42
2015 12 107.40
2016 01 105.37
2016 02 101.61
2016 03 98.34
2016 04 95.90
2016 05 96.54
2016 06 94.70
2016 07 93.06
2016 08 92.00
2016 09 93.56
2016 10 99.26
2016 11 104.55
2016 12 106.99
2017 01 103.75
2017 02 100.11
