CERES - EBAFTOA421 Data
Parameter: TOA Net Flux - All-Sky ** Anomaly Field **  (W m-2)
Time Range: March - 2000 to January - 2026
Time Resolution: MON
Valid Range: -400 - 400
Satellite: -

year month   data
2000 03 -0.92
2000 04 -0.12
2000 05 -1.00
2000 06 -1.26
2000 07 -0.08
2000 08 -0.31
2000 09 -0.43
2000 10 -0.41
2000 11 0.14
2000 12 -0.30
2001 01 1.38
2001 02 0.10
2001 03 0.66
2001 04 -1.05
2001 05 -1.18
2001 06 -0.76
2001 07 -0.04
2001 08 -1.19
2001 09 0.48
2001 10 -0.97
2001 11 -0.44
2001 12 -1.15
2002 01 -0.58
2002 02 -0.82
2002 03 -0.38
2002 04 -1.35
2002 05 -0.63
2002 06 -1.14
2002 07 -1.54
2002 08 -1.67
2002 09 -0.70
2002 10 0.52
2002 11 -0.49
2002 12 -0.26
2003 01 -0.79
2003 02 -0.02
2003 03 -0.47
2003 04 -0.76
2003 05 -1.08
2003 06 -0.47
2003 07 -0.28
2003 08 0.18
2003 09 -0.12
2003 10 -0.48
2003 11 -0.27
2003 12 -0.30
2004 01 0.24
2004 02 0.23
2004 03 -1.31
2004 04 0.31
2004 05 -1.55
2004 06 -1.52
2004 07 0.78
2004 08 -0.29
2004 09 0.43
2004 10 -0.70
2004 11 0.17
2004 12 0.88
2005 01 -0.36
2005 02 -1.05
2005 03 -0.26
2005 04 -0.93
2005 05 0.62
2005 06 -0.94
2005 07 -1.22
2005 08 -1.04
2005 09 -0.19
2005 10 -0.57
2005 11 -0.45
2005 12 0.69
2006 01 0.58
2006 02 0.32
2006 03 -0.27
2006 04 0.35
2006 05 0.70
2006 06 -0.23
2006 07 -0.70
2006 08 -0.90
2006 09 -0.03
2006 10 -0.85
2006 11 0.32
2006 12 -0.22
2007 01 -1.49
2007 02 -0.32
2007 03 -1.00
2007 04 -0.15
2007 05 -0.69
2007 06 0.27
2007 07 -0.23
2007 08 -0.80
2007 09 -1.29
2007 10 -0.43
2007 11 -0.96
2007 12 -1.25
2008 01 0.16
2008 02 -0.46
2008 03 0.68
2008 04 -0.26
2008 05 0.77
2008 06 0.34
2008 07 0.54
2008 08 1.04
2008 09 -0.24
2008 10 0.59
2008 11 -0.50
2008 12 1.03
2009 01 0.27
2009 02 0.42
2009 03 0.55
2009 04 -0.16
2009 05 0.53
2009 06 1.44
2009 07 -0.20
2009 08 -0.13
2009 09 -0.92
2009 10 -0.52
2009 11 -1.08
2009 12 -0.05
2010 01 -1.74
2010 02 -0.79
2010 03 -1.25
2010 04 0.03
2010 05 -1.01
2010 06 -0.76
2010 07 -0.72
2010 08 -1.14
2010 09 -0.48
2010 10 -0.55
2010 11 -1.36
2010 12 -0.65
2011 01 0.17
2011 02 -0.38
2011 03 -0.02
2011 04 0.34
2011 05 0.66
2011 06 -0.52
2011 07 -0.35
2011 08 -0.48
2011 09 -0.89
2011 10 1.03
2011 11 -0.03
2011 12 -1.51
2012 01 0.34
2012 02 1.80
2012 03 -0.18
2012 04 0.52
2012 05 0.73
2012 06 0.23
2012 07 0.43
2012 08 0.38
2012 09 -0.19
2012 10 0.55
2012 11 0.55
2012 12 0.75
2013 01 -1.63
2013 02 -0.39
2013 03 0.46
2013 04 -0.75
2013 05 0.13
2013 06 -0.63
2013 07 0.27
2013 08 -0.03
2013 09 -0.32
2013 10 -0.50
2013 11 -0.14
2013 12 -0.11
2014 01 -0.56
2014 02 -0.42
2014 03 0.17
2014 04 0.35
2014 05 0.63
2014 06 -0.60
2014 07 -0.75
2014 08 0.69
2014 09 0.29
2014 10 0.16
2014 11 0.08
2014 12 -0.46
2015 01 -0.99
2015 02 0.34
2015 03 0.22
2015 04 0.26
2015 05 0.63
2015 06 0.07
2015 07 0.58
2015 08 0.69
2015 09 0.68
2015 10 0.23
2015 11 -0.11
2015 12 -0.19
2016 01 -0.41
2016 02 -1.56
2016 03 -0.56
2016 04 -0.57
2016 05 0.04
2016 06 1.44
2016 07 0.44
2016 08 0.27
2016 09 0.23
2016 10 -0.02
2016 11 0.80
2016 12 0.56
2017 01 0.87
2017 02 0.84
2017 03 0.37
2017 04 -0.12
2017 05 -0.28
2017 06 0.53
2017 07 0.53
2017 08 -0.17
2017 09 -0.58
2017 10 -0.70
2017 11 -0.01
2017 12 -0.61
2018 01 0.45
2018 02 0.29
2018 03 -0.17
2018 04 0.94
2018 05 0.52
2018 06 -0.58
2018 07 0.09
2018 08 0.10
2018 09 0.89
2018 10 0.92
2018 11 1.10
2018 12 1.16
2019 01 0.26
2019 02 0.58
2019 03 0.47
2019 04 0.14
2019 05 0.52
2019 06 0.57
2019 07 0.46
2019 08 -0.06
2019 09 0.49
2019 10 1.43
2019 11 0.73
2019 12 -0.06
2020 01 -0.23
2020 02 -0.46
2020 03 0.14
2020 04 0.35
2020 05 0.19
2020 06 0.09
2020 07 0.20
2020 08 0.71
2020 09 -0.23
2020 10 -0.64
2020 11 -0.99
2020 12 -1.02
2021 01 -0.24
2021 02 0.02
2021 03 0.82
2021 04 0.91
2021 05 0.56
2021 06 1.68
2021 07 0.61
2021 08 0.78
2021 09 0.88
2021 10 0.50
2021 11 0.98
2021 12 -0.05
2022 01 0.85
2022 02 0.57
2022 03 0.50
2022 04 -0.26
2022 05 -0.35
2022 06 1.58
2022 07 -0.03
2022 08 1.05
2022 09 0.71
2022 10 0.68
2022 11 0.65
2022 12 1.38
2023 01 1.16
2023 02 1.15
2023 03 1.42
2023 04 1.86
2023 05 1.62
2023 06 1.02
2023 07 0.64
2023 08 0.83
2023 09 0.60
2023 10 0.16
2023 11 0.47
2023 12 0.47
2024 01 -0.40
2024 02 -0.13
2024 03 -0.16
2024 04 0.22
2024 05 -0.96
2024 06 0.10
2024 07 -0.14
2024 08 0.33
2024 09 0.11
2024 10 0.38
2024 11 0.20
2024 12 -0.42
2025 01 1.30
2025 02 0.14
2025 03 0.48
2025 04 -0.07
2025 05 -0.09
2025 06 0.04
2025 07 0.72
2025 08 1.17
2025 09 0.83
2025 10 0.21
2025 11 0.64
2025 12 1.70
2026 01 1.38
