Year,Cumulative CO₂ emissions,GtCO2,Year63,GtC
1960,308396160000,308.396160,1960.196000,84.108044
1961,317811160000,317.811160,1961.196100,86.675771
1962,327558400000,327.558400,1962.196200,89.334109
1963,337825170000,337.825170,1963.196300,92.134137
1964,348649650000,348.649650,1964.196400,95.086268
1965,359960250000,359.960250,1965.196500,98.170977
1966,371822900000,371.822900,1966.196600,101.406245
1967,384060230000,384.060230,1967.196700,104.743699
1968,396965500000,396.965500,1968.196800,108.263318
1969,410727320000,410.727320,1969.196900,112.016542
1970,425626470000,425.626470,1970.197000,116.079946
1971,441130320000,441.130320,1971.197100,120.308269
1972,457354900000,457.354900,1972.197200,124.733155
1973,474432180000,474.432180,1973.197300,129.390595
1974,491430100000,491.430100,1974.197400,134.026391
1975,508418560000,508.418560,1975.197500,138.659607
1976,526281050000,526.281050,1976.197600,143.531195
1977,544639100000,544.639100,1977.197700,148.537936
1978,563663860000,563.663860,1978.197800,153.726507
1979,583172400000,583.172400,1979.197900,159.047018
1980,602582200000,602.582200,1980.198000,164.340600
1981,621461960000,621.461960,1981.198100,169.489625
1982,640191700000,640.191700,1982.198200,174.597736
1983,659093500000,659.093500,1983.198300,179.752773
1984,678550770000,678.550770,1984.198400,185.059301
1985,698695600000,698.695600,1985.198500,190.553345
1986,719133700000,719.133700,1986.198600,196.127373
1987,740239900000,740.239900,1987.198700,201.883609
1988,762158600000,762.158600,1988.198800,207.861436
1989,784358830000,784.358830,1989.198900,213.916045
1990,807091000000,807.091000,1990.199000,220.115727
1991,830296560000,830.296560,1991.199100,226.444516
1992,852816950000,852.816950,1992.199200,232.586441
1993,875566860000,875.566860,1993.199300,238.790962
1994,898541400000,898.541400,1994.199400,245.056745
1995,922058100000,922.058100,1995.199500,251.470391
1996,946291540000,946.291540,1996.199600,258.079511
1997,970671900000,970.671900,1997.199700,264.728700
1998,994967600000,994.967600,1998.199800,271.354800
1999,1019805400000,1019.805400,1999.199900,278.128745
2000,1045316800000,1045.316800,2000.200000,285.086400
2001,1071009800000,1071.009800,2001.200100,292.093582
2002,1097275150000,1097.275150,2002.200200,299.256859
2003,1124927900000,1124.927900,2003.200300,306.798518
2004,1153537900000,1153.537900,2004.200400,314.601245
2005,1183136900000,1183.136900,2005.200500,322.673700
2006,1213731000000,1213.731000,2006.200600,331.017545
2007,1245230300000,1245.230300,2007.200700,339.608264
2008,1277279900000,1277.279900,2008.200800,348.349064
2009,1308793000000,1308.793000,2009.200900,356.943545
2010,1342110600000,1342.110600,2010.201000,366.030164
2011,1376590600000,1376.590600,2011.201100,375.433800
2012,1411545300000,1411.545300,2012.201200,384.966900
2013,1446821100000,1446.821100,2013.201300,394.587573
2014,1482286800000,1482.286800,2014.201400,404.260036
2015,1517690400000,1517.690400,2015.201500,413.915564
2016,1553083100000,1553.083100,2016.201600,423.568118
2017,1589057800000,1589.057800,2017.201700,433.379400
2018,1625791800000,1625.791800,2018.201800,443.397764
2019,1662878400000,1662.878400,2019.201900,453.512291
2020,1698036600000,1698.036600,2020.202000,463.100891
2021,1734903500000,1734.903500,2021.202100,473.155500
2022,1772431200000,1772.431200,2022.202200,483.390327
2023,1810525300000,1810.525300,2023.202300,493.779627
2024,1849123900000,1849.123900,2024.202400,504.306518
