Year,Cumulative CO₂ emissions,GtCO2,GtC
1750,9305937,0.009306,0.002538
1751,18713166,0.018713,0.005104
1752,28218334,0.028218,0.007696
1753,37828824,0.037829,0.010317
1754,47562404,0.047562,0.012972
1755,57355870,0.057356,0.015643
1756,67265784,0.067266,0.018345
1757,77359720,0.077360,0.021098
1758,87576080,0.087576,0.023884
1759,97914936,0.097915,0.026704
1760,108429260,0.108429,0.029572
1761,119177150,0.119177,0.032503
1762,130129340,0.130129,0.035490
1763,141320940,0.141321,0.038542
1764,152717920,0.152718,0.041650
1765,164361400,0.164361,0.044826
1766,176237490,0.176237,0.048065
1767,188390000,0.188390,0.051379
1768,200856930,0.200857,0.054779
1769,213637010,0.213637,0.058265
1770,226734220,0.226734,0.061837
1771,240103710,0.240104,0.065483
1772,253727220,0.253727,0.069198
1773,267535360,0.267535,0.072964
1774,281547780,0.281548,0.076786
1775,295886700,0.295887,0.080696
1776,310540800,0.310541,0.084693
1777,325500350,0.325500,0.088773
1778,340743840,0.340744,0.092930
1779,356279070,0.356279,0.097167
1780,372157800,0.372158,0.101498
1781,388392200,0.388392,0.105925
1782,404973120,0.404973,0.110447
1783,422035870,0.422036,0.115101
1784,439506980,0.439507,0.119866
1785,457472100,0.457472,0.124765
1786,475919600,0.475920,0.129796
1787,494778720,0.494779,0.134940
1788,514064960,0.514065,0.140200
1789,533928400,0.533928,0.145617
1790,554326460,0.554326,0.151180
1791,575258240,0.575258,0.156889
1792,597187460,0.597187,0.162869
1793,619484700,0.619485,0.168950
1794,642004350,0.642004,0.175092
1795,664319600,0.664320,0.181178
1796,686440960,0.686441,0.187211
1797,708531100,0.708531,0.193236
1798,731637000,0.731637,0.199537
1799,759122200,0.759122,0.207033
1800,791920500,0.791921,0.215978
1801,823906560,0.823907,0.224702
1802,864217100,0.864217,0.235696
1803,893755600,0.893756,0.243752
1804,925524740,0.925525,0.252416
1805,956776600,0.956777,0.260939
1806,989481200,0.989481,0.269859
1807,1025681860,1.025682,0.279731
1808,1061179650,1.061180,0.289413
1809,1097513500,1.097514,0.299322
1810,1137005700,1.137006,0.310092
