date,year,month,decimal_year,toa_net_flux_w_m2,EEI
2000-03-01,2000,3,2000.208333,99.260000,
2000-04-01,2000,4,2000.291667,97.780000,
2000-05-01,2000,5,2000.375000,97.930000,
2000-06-01,2000,6,2000.458333,96.820000,
2000-07-01,2000,7,2000.541667,94.220000,
2000-08-01,2000,8,2000.625000,93.580000,
2000-09-01,2000,9,2000.708333,95.210000,
2000-10-01,2000,10,2000.791667,101.910000,
2000-11-01,2000,11,2000.875000,106.530000,
2000-12-01,2000,12,2000.958333,108.280000,
2001-01-01,2001,1,2001.041667,104.710000,
2001-02-01,2001,2,2001.125000,102.870000,99.925000
2001-03-01,2001,3,2001.208333,99.090000,99.910833
2001-04-01,2001,4,2001.291667,98.470000,99.968333
2001-05-01,2001,5,2001.375000,97.900000,99.965833
2001-06-01,2001,6,2001.458333,96.670000,99.953333
2001-07-01,2001,7,2001.541667,93.910000,99.927500
2001-08-01,2001,8,2001.625000,93.330000,99.906667
2001-09-01,2001,9,2001.708333,94.460000,99.844167
2001-10-01,2001,10,2001.791667,101.600000,99.818333
2001-11-01,2001,11,2001.875000,105.830000,99.760000
2001-12-01,2001,12,2001.958333,108.870000,99.809167
2002-01-01,2002,1,2002.041667,106.610000,99.967500
2002-02-01,2002,2,2002.125000,102.750000,99.957500
2002-03-01,2002,3,2002.208333,99.190000,99.965833
2002-04-01,2002,4,2002.291667,97.890000,99.917500
2002-05-01,2002,5,2002.375000,96.690000,99.816667
2002-06-01,2002,6,2002.458333,96.840000,99.830833
2002-07-01,2002,7,2002.541667,94.640000,99.891667
2002-08-01,2002,8,2002.625000,93.820000,99.932500
2002-09-01,2002,9,2002.708333,94.460000,99.932500
2002-10-01,2002,10,2002.791667,99.640000,99.769167
2002-11-01,2002,11,2002.875000,106.320000,99.810000
2002-12-01,2002,12,2002.958333,108.340000,99.765833
2003-01-01,2003,1,2003.041667,105.980000,99.713333
2003-02-01,2003,2,2003.125000,101.790000,99.633333
2003-03-01,2003,3,2003.208333,98.310000,99.560000
2003-04-01,2003,4,2003.291667,97.490000,99.526667
2003-05-01,2003,5,2003.375000,97.870000,99.625000
2003-06-01,2003,6,2003.458333,95.970000,99.552500
2003-07-01,2003,7,2003.541667,93.640000,99.469167
2003-08-01,2003,8,2003.625000,92.240000,99.337500
2003-09-01,2003,9,2003.708333,94.160000,99.312500
2003-10-01,2003,10,2003.791667,99.610000,99.310000
2003-11-01,2003,11,2003.875000,105.680000,99.256667
2003-12-01,2003,12,2003.958333,107.490000,99.185833
2004-01-01,2004,1,2004.041667,105.790000,99.170000
2004-02-01,2004,2,2004.125000,101.350000,99.133333
2004-03-01,2004,3,2004.208333,99.890000,99.265000
2004-04-01,2004,4,2004.291667,96.410000,99.175000
2004-05-01,2004,5,2004.375000,98.500000,99.227500
2004-06-01,2004,6,2004.458333,96.890000,99.304167
2004-07-01,2004,7,2004.541667,93.360000,99.280833
2004-08-01,2004,8,2004.625000,92.590000,99.310000
2004-09-01,2004,9,2004.708333,93.990000,99.295833
2004-10-01,2004,10,2004.791667,100.420000,99.363333
2004-11-01,2004,11,2004.875000,105.670000,99.362500
2004-12-01,2004,12,2004.958333,107.310000,99.347500
2005-01-01,2005,1,2005.041667,105.650000,99.335833
2005-02-01,2005,2,2005.125000,102.360000,99.420000
2005-03-01,2005,3,2005.208333,98.740000,99.324167
2005-04-01,2005,4,2005.291667,97.290000,99.397500
2005-05-01,2005,5,2005.375000,96.970000,99.270000
2005-06-01,2005,6,2005.458333,96.480000,99.235833
2005-07-01,2005,7,2005.541667,94.380000,99.320833
2005-08-01,2005,8,2005.625000,93.180000,99.370000
2005-09-01,2005,9,2005.708333,94.200000,99.387500
2005-10-01,2005,10,2005.791667,100.090000,99.360000
2005-11-01,2005,11,2005.875000,105.700000,99.362500
2005-12-01,2005,12,2005.958333,106.720000,99.313333
2006-01-01,2006,1,2006.041667,105.970000,99.340000
